,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
0,243.425,95.31,158.09,342.075,155.025,116.935,40.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,243.555,95.325,158.19,341.775,154.4,117.05,40.91,46.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,243.615,95.275,158.615,339.57,153.88,117.08,41.03,46.765,0,70.27,83.505,256.78,190.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,243.67,95.245,158.905,336.625,153.44,117.05,41.095,46.73,0,70.285,83.53,256.92,188.96,157.935,46.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,243.58,95.315,159.675,337.985,153.105,117.01,41.085,46.765,0,70.205,83.505,257.13,189.23,157.935,46.37,136.055,112.71,0,0,0,0,0,0,0,0,0,0,0,0,0
5,243.495,95.355,159.06,337.6,153.54,117.005,41.075,46.85,0,70.28,83.37,256.995,189.505,158.02,46.375,136.405,112.62,168.745,58.38,0,0,0,0,0,0,0,0,0,0,0
6,242.47,95.37,159.225,337.57,153.51,116.995,41.075,46.83,0,70.295,83.335,257.01,189.85,158.175,46.345,136.415,112.5,168.785,58.39,90.565,0,0,0,0,0,0,0,0,0,0
7,242.475,95.36,159.235,338.72,153.38,116.5,41.045,46.82,0,70.24,83.35,257.025,190.205,158.125,46.315,136.215,112.53,168.56,58.39,90.67,67.07,36.55,0,0,0,0,0,0,0,0
8,242.365,95.355,159.215,338.97,153.795,116.63,40.97,46.83,0,69.495,83.415,257.535,190.44,157.985,46.315,136.265,112.61,168.725,58.405,90.68,67.02,36.575,84.1,147.37,133.395,230.155,0,0,0,0
9,242.345,95.455,159.36,339.165,153.735,116.93,40.915,46.795,0,69.91,83.525,257.645,190.855,157.985,46.32,136.305,112.615,168.58,58.375,90.675,66.98,36.61,84.03,147.39,133.345,230.06,52.755,119.69,0,0
10,242.33,95.585,159.76,338.605,153.485,117.255,40.915,46.74,107.635,69.815,83.64,258.435,190.67,158.14,46.29,136.425,112.83,168.26,58.325,90.72,67.025,36.625,84.065,147.55,133.54,230.06,52.755,119.645,103.915,73.435
11,242.335,95.905,159.675,339.165,154.385,117.285,40.895,46.75,107.7,69.535,83.755,259.055,191.04,158.135,46.335,136.515,112.975,168.125,58.285,90.72,67.015,36.645,84.03,147.475,133.49,230.2,52.735,119.74,104.075,73.45
12,242.335,95.895,159.915,337.705,154.455,117.165,40.94,46.71,107.825,69.615,83.925,259.065,191.585,158.125,46.33,136.6,113.1,167.84,58.225,90.64,67.01,36.655,84.015,147.48,133.55,230.11,52.79,119.24,104.05,73.4
13,242.7,95.77,159.78,337.705,154.34,117.245,40.96,46.69,107.75,69.77,83.91,259.065,191.93,158.125,46.285,136.665,113.065,168.045,58.255,90.73,66.965,36.655,84.065,147.66,133.545,230.09,52.7,119.27,104.075,73.47
14,242.685,95.715,159.88,338.51,154.325,117.44,40.915,46.73,107.745,69.805,83.9,259.075,191.725,157.985,46.265,136.435,113.025,168.12,58.235,90.655,66.935,36.655,84.115,147.66,133.49,229.935,52.665,119.325,104.07,73.455
