Execution Time,Symbol,Price,Size,Liquidity Provider,Liquidity Taker,LP Order ID,LT Order ID,LP Order Type,LT Order Type,LP Order Time,LT Order Time,Fee,,,
39:26.9,V,122.24,2,Hidden,winwin,Hidden,cfcfda17-7b23-470b-bd71-29d1f4a3a8fe,Sell,Buy,38:01.6,39:26.9,0.6,," $24,448.00 "," $739,875.00 "
39:26.9,V,122.24,1,Hidden,winwin,Hidden,cfcfda17-7b23-470b-bd71-29d1f4a3a8fe,Sell,Buy,38:01.6,39:26.9,0.3,," $12,224.00 "," $752,099.00 "
39:26.9,V,122.24,1,Hidden,winwin,Hidden,cfcfda17-7b23-470b-bd71-29d1f4a3a8fe,Sell,Buy,38:01.6,39:26.9,0.3,," $12,224.00 "," $764,323.00 "
48:21.9,DIS,110.42,1,Hidden,winwin,Hidden,3c3ea004-dca6-42dc-902c-250c25433c70,Sell,Buy,48:21.4,48:21.9,0.3,," $11,042.00 "," $775,365.00 "
48:21.9,DIS,110.42,3,Hidden,winwin,Hidden,3c3ea004-dca6-42dc-902c-250c25433c70,Sell,Buy,48:21.4,48:21.9,0.9,," $33,126.00 "," $808,491.00 "
57:17.0,BA,337.46,1,Hidden,winwin,Hidden,0e9f9c55-3ad2-4350-8142-a7d50bfebcaf,Sell,Buy,57:04.5,57:17.0,0.3,," $33,746.00 "," $842,237.00 "
59:15.9,XOM,86.83,1,Hidden,winwin,Hidden,1cfddf24-cc7f-4d4c-a742-275f37d10eae,Sell,Buy,56:11.5,59:15.9,0.3,," $8,683.00 "," $850,920.00 "
59:15.9,XOM,86.83,4,Hidden,winwin,Hidden,1cfddf24-cc7f-4d4c-a742-275f37d10eae,Sell,Buy,56:11.5,59:15.9,1.2,," $34,732.00 "," $885,652.00 "
18:05.5,JPM,113.33,4,Hidden,winwin,Hidden,ac808563-8cca-4075-b8c7-70f00aed06d0,Sell,Buy,17:48.1,18:05.5,1.2,," $45,332.00 "," $930,984.00 "
59:42.6,TRV,137.2,1,Hidden,winwin,Hidden,5617ff74-0385-4e43-8556-28b23345dea5,Sell,Buy,57:32.6,59:42.6,0.3,," $13,720.00 "," $944,704.00 "
59:42.6,TRV,137.2,1,Hidden,winwin,Hidden,5617ff74-0385-4e43-8556-28b23345dea5,Sell,Buy,57:51.9,59:42.6,0.3,," $13,720.00 "," $958,424.00 "
59:42.6,TRV,137.2,1,Hidden,winwin,Hidden,5617ff74-0385-4e43-8556-28b23345dea5,Sell,Buy,59:04.7,59:42.6,0.3,," $13,720.00 "," $972,144.00 "
46:46.2,AAPL,178.05,2,Hidden,winwin,Hidden,b30400db-fe86-4e0f-bd6d-fcf512fa5acf,Buy,Sell,46:35.2,46:46.2,0.6,,,
46:46.3,CVX,131.13,2,Hidden,winwin,Hidden,07a11e7d-bf17-4382-ab19-42f10f1dc0b1,Buy,Sell,46:30.2,46:46.2,0.6,,,
46:46.3,GS,255.43,1,Hidden,winwin,Hidden,7cf25eac-6375-4140-8ac8-7e317bdc12a2,Buy,Sell,45:59.9,46:46.3,0.3,,,
46:46.3,CVX,131.13,1,Hidden,winwin,Hidden,07a11e7d-bf17-4382-ab19-42f10f1dc0b1,Buy,Sell,46:30.2,46:46.2,0.3,,,
46:46.3,BA,337.3,1,Hidden,winwin,Hidden,79fe14c2-5fa9-44aa-9917-fe334a7df3a9,Buy,Sell,46:12.5,46:46.2,0.3,,,
46:46.3,DIS,110.13,4,Hidden,winwin,Hidden,a5159d68-4eb5-461a-b5ea-df37da5dc141,Buy,Sell,15:45.5,46:46.2,1.2,,,
46:46.3,NKE,67.06,7,Hidden,winwin,Hidden,aaf429af-bdcd-4641-9320-633031a54471,Buy,Sell,23:12.5,46:46.3,2.1,,,
46:46.3,CAT,169.98,1,Hidden,winwin,Hidden,cc5b5e41-cc76-4a7c-afab-cfdf329f2faa,Buy,Sell,46:16.2,46:46.2,0.3,,,
46:46.3,KO,47.18,4,Hidden,winwin,Hidden,9af634b8-0e34-447b-828e-7760458c0728,Buy,Sell,27:45.8,46:46.3,1.2,,,
46:46.3,CAT,169.98,1,Hidden,winwin,Hidden,cc5b5e41-cc76-4a7c-afab-cfdf329f2faa,Buy,Sell,46:21.9,46:46.2,0.3,,,
46:46.3,KO,47.18,6,Hidden,winwin,Hidden,9af634b8-0e34-447b-828e-7760458c0728,Buy,Sell,27:45.8,46:46.3,1.8,,,
46:46.3,INTC,44.78,11,Hidden,winwin,Hidden,48bf092b-9840-457f-b30c-a001b06a6488,Buy,Sell,46:39.2,46:46.3,3.3,,,
46:46.3,MCD,176.05,2,Hidden,winwin,Hidden,d63789fc-76f9-411f-9f03-aa006b5fb531,Buy,Sell,38:22.4,46:46.3,0.6,,,
46:46.3,PG,91.13,5,Hidden,winwin,Hidden,6a5a51d5-4e51-4654-bbf5-5656aabf3a38,Buy,Sell,46:40.2,46:46.3,1.5,,,
