Team,Buying Power,Holding Balance,Borrowed Balance,Total Shares,Total P&L,Fees,Total Orders,Penalty,Total P&L 2
winwin,1002202.0,0.0,0.0,19600,2202.0,0.0,0,0.0,0.0
winwin,1002202.0,0.0,0.0,19600,2202.0,58.8,47,0.0,2143.2
