,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
1386,247.54,98.015,162.305,352.455,158.33,120.41,41.485,47.055,109.225,71.575,83.88,264.835,197.06,160.52,47.045,138.78,115.775,171.36,59.205,92.025,67.295,36.965,85.015,149.215,136.525,234.9,53.595,122.355,105.93,73.62
1387,247.54,98.035,162.305,352.505,158.285,120.33,41.495,47.055,109.225,71.565,83.885,264.855,197.045,160.53,47.055,138.79,115.755,171.37,59.205,92.045,67.295,36.965,85.015,149.16,136.485,234.97,53.585,122.355,105.935,73.665
1388,247.51,98.03,162.27,352.645,158.295,120.32,41.485,47.055,109.22,71.565,83.875,264.855,197.1,160.53,47.045,138.79,115.745,171.37,59.205,92.045,67.295,36.965,85.015,149.12,136.49,234.955,53.585,122.375,105.935,73.67
1389,247.47,98.03,162.255,352.55,158.28,120.325,41.495,47.055,109.205,71.58,83.885,264.855,197.06,160.53,47.045,138.785,115.735,171.35,59.195,92.045,67.275,36.965,85.015,149.125,136.49,234.94,53.565,122.38,105.905,73.665
1390,247.475,98.03,162.18,352.545,158.255,120.325,41.485,47.045,109.185,71.575,83.875,264.855,197.01,160.53,47.035,138.8,115.725,171.36,59.195,92.01,67.265,36.965,85.015,149.11,136.45,234.885,53.565,122.36,105.89,73.64
1391,247.475,98.025,162.225,352.375,158.285,120.345,41.485,47.045,109.185,71.575,83.875,264.855,196.985,160.505,47.025,138.79,115.715,171.355,59.185,92.045,67.265,36.965,85.015,149.135,136.45,234.85,53.575,122.355,105.885,73.64
1392,247.55,98.025,162.25,352.3,158.295,120.37,41.485,47.045,109.205,71.575,83.88,264.855,196.985,160.505,47.025,138.785,115.725,171.36,59.185,92.055,67.265,36.955,85.015,149.125,136.45,234.8,53.575,122.39,105.895,73.64
1393,247.5,98.005,162.17,352.225,158.275,120.36,41.455,47.035,109.185,71.555,83.89,264.79,196.875,160.475,47.015,138.77,115.69,171.335,59.165,92.025,67.255,36.945,84.985,149.085,136.42,234.77,53.565,122.37,105.845,73.595
1394,247.5,97.995,162.11,352.185,158.245,120.35,41.455,47.045,109.185,71.535,83.89,264.79,196.9,160.49,47.005,138.755,115.685,171.365,59.165,92.015,67.255,36.945,84.985,149.095,136.42,234.76,53.575,122.36,105.855,73.605
1395,247.5,98.02,161.765,352.33,158.23,120.35,41.455,47.045,109.2,71.515,83.89,264.81,196.93,160.47,46.99,138.765,115.685,171.385,59.16,92.005,67.255,36.945,84.995,149.095,136.42,234.765,53.585,122.35,105.865,73.6
1396,247.5,98.005,161.94,352.395,158.23,120.33,41.455,47.045,109.195,71.505,83.89,264.86,196.935,160.48,46.985,138.765,115.665,171.385,59.165,91.995,67.255,36.945,84.995,149.13,136.405,234.77,53.565,122.34,105.875,73.6
1397,247.59,98.005,161.95,352.395,158.23,120.315,41.455,47.045,109.195,71.505,83.865,264.86,196.885,160.48,46.985,138.755,115.665,171.385,59.17,91.995,67.265,36.945,84.985,149.13,136.405,234.745,53.545,122.34,105.855,73.6
1398,247.595,98.01,161.975,352.225,158.23,120.285,41.445,47.045,109.175,71.515,83.87,264.86,196.88,160.48,46.985,138.755,115.675,171.34,59.155,91.985,67.265,36.945,84.975,149.105,136.4,234.745,53.545,122.345,105.855,73.57
1399,247.655,98.025,161.97,352.295,158.235,120.27,41.445,47.035,109.185,71.495,83.875,264.925,196.875,160.485,46.985,138.755,115.68,171.39,59.155,91.945,67.235,36.945,84.975,149.1,136.415,234.755,53.545,122.35,105.845,73.54
1400,247.655,98.025,161.99,352.255,158.21,120.255,41.455,47.035,109.175,71.495,83.875,264.925,196.85,160.465,47.005,138.745,115.67,171.38,59.155,91.985,67.235,36.945,84.995,149.1,136.415,234.745,53.535,122.35,105.855,73.54
1401,247.685,98.02,162.06,352.29,158.2,120.235,41.455,47.045,109.165,71.485,83.875,264.905,196.855,160.48,47.005,138.66,115.655,171.355,59.145,91.985,67.235,36.935,84.985,149.115,136.415,234.77,53.535,122.35,105.845,73.54
1402,247.685,98.02,162.035,352.29,158.235,120.25,41.455,47.045,109.165,71.475,83.865,264.895,196.845,160.49,47.005,138.685,115.655,171.355,59.155,91.995,67.215,36.935,84.995,149.115,136.41,234.77,53.535,122.38,105.82,73.575
1403,247.56,97.97,162.04,352.145,158.135,120.25,41.425,47.035,109.115,71.46,83.845,264.78,196.735,160.42,46.975,138.6,115.63,171.215,59.125,91.935,67.205,36.915,84.975,149.055,136.37,234.685,53.505,122.335,105.785,73.525
1404,247.55,97.97,162.045,352.15,158.135,120.24,41.435,47.035,109.12,71.455,83.86,264.785,196.695,160.395,46.965,138.65,115.645,171.265,59.125,91.955,67.195,36.925,84.975,149.035,136.355,234.65,53.515,122.3,105.775,73.49
1405,247.615,97.985,161.97,352.14,158.165,120.28,41.425,47.035,109.11,71.47,83.865,264.785,196.725,160.395,46.965,138.66,115.64,171.255,59.125,91.955,67.175,36.925,84.975,149.035,136.32,234.565,53.515,122.28,105.78,73.51
1406,247.615,97.985,161.91,352.055,158.105,120.26,41.425,47.035,109.11,71.46,83.865,264.785,196.69,160.39,46.965,138.635,115.615,171.26,59.125,91.945,67.185,36.905,84.975,149.035,136.245,234.555,53.515,122.26,105.78,73.52
1407,247.69,97.985,162.015,352.145,158.15,120.28,41.445,47.025,109.15,71.475,83.885,264.785,196.75,160.47,46.985,138.665,115.635,171.285,59.145,91.985,67.195,36.915,84.975,149.035,136.265,234.665,53.525,122.29,105.785,73.52
1408,247.69,98.01,161.97,352.34,158.19,120.315,41.445,47.015,109.215,71.505,83.885,264.915,196.75,160.495,47.005,138.72,115.675,171.3,59.2,92.005,67.225,36.935,84.975,149.085,136.33,234.705,53.555,122.295,105.795,73.555
1409,247.69,98.045,161.96,352.27,158.21,120.35,41.445,47.025,109.215,71.495,83.895,264.91,196.695,160.495,47.005,138.73,115.675,171.295,59.195,92.015,67.215,36.935,84.985,149.05,136.31,234.695,53.555,122.28,105.795,73.555
1410,247.69,98.045,161.92,352.36,158.245,120.34,41.445,47.025,109.215,71.485,83.895,264.935,196.675,160.5,47.005,138.71,115.71,171.295,59.195,92.035,67.205,36.935,84.975,149.05,136.335,234.72,53.565,122.28,105.795,73.555
1411,247.69,98.045,161.915,352.36,158.225,120.31,41.435,47.025,109.195,71.475,83.875,264.81,196.675,160.5,47.005,138.715,115.675,171.295,59.165,92.015,67.205,36.925,84.975,149.05,136.34,234.695,53.555,122.26,105.785,73.565
1412,247.69,98.045,161.82,352.335,158.22,120.3,41.435,47.025,109.21,71.47,83.875,264.805,196.645,160.46,46.995,138.72,115.685,171.3,59.165,91.985,67.195,36.925,84.975,149.05,136.315,234.725,53.555,122.235,105.77,73.55
1413,247.635,98.045,161.84,352.35,158.23,120.3,41.425,47.025,109.21,71.47,83.87,264.805,196.63,160.445,46.995,138.675,115.685,171.285,59.155,92,67.205,36.915,84.975,149.05,136.325,234.725,53.535,122.215,105.77,73.55
1414,247.635,98.045,161.82,352.35,158.22,120.3,41.425,47.025,109.205,71.465,83.865,264.8,196.595,160.45,46.985,138.68,115.655,171.275,59.155,92.005,67.205,36.915,84.975,149.05,136.32,234.705,53.535,122.185,105.755,73.525
1415,247.635,98.05,161.72,352.35,158.225,120.295,41.415,47.025,109.205,71.455,83.865,264.74,196.65,160.465,46.985,138.7,115.645,171.305,59.155,91.985,67.205,36.915,84.975,149.065,136.32,234.715,53.535,122.16,105.765,73.545
1416,247.635,98.05,161.325,352.725,158.19,120.27,41.405,47.015,109.195,71.445,83.865,264.71,196.555,160.45,46.955,138.66,115.635,171.25,59.155,91.945,67.185,36.915,84.975,149.045,136.33,234.72,53.535,122.135,105.755,73.52
