Team,Buying Power,Holding Balance,Borrowed Balance,Total Shares,Total P&L,Fees,Total Orders,Penalty,Total P&L 2
winwin,975769,0,0.01,55800,-24231,0,0,0,0
winwin,975769.02,0,0,55800,-24231,166.4,150,0,-24397.4
