	MMM	AXP	AAPL	BA	CAT	CVX	CSCO	KO	DIS	DWDP	XOM	GS	HD	IBM	INTC	JNJ	JPM	MCD	MRK	MSFT	NKE	PFE	PG	TRV	UTX	UNH	VZ	V	WMT	WBA
27	218.215	92.025	167.985	331.415	148.28	114.235	43.335	42.55	99.78	63.5	73.475	250.52	175.035	151.17	50.845	126.16	109.69	156.97	53.83	91.91	65.305	34.855	76.68	136.885	124.15	215.94	46.77	119.13	86.315	66.335
28	218.325	92.1	167.98	331.54	148.43	114.335	43.365	42.585	99.84	63.55	73.5	250.83	175.305	151.19	50.88	125.97	109.825	157.18	53.87	91.895	65.37	34.875	76.7	136.925	124.27	215.975	46.785	119.245	86.365	66.335
29	218.315	92.14	167.985	331.7	148.415	114.275	43.345	42.555	99.825	63.495	73.475	250.63	174.885	151.3	50.845	125.915	109.74	157.18	53.795	91.785	65.285	34.835	76.69	136.9	124.295	215.835	46.775	119.21	86.315	66.31
30	218.085	92.17	168.03	331.575	148.355	114.215	43.345	42.555	99.82	63.53	73.47	250.585	174.95	151.125	50.835	125.915	109.805	157.135	53.805	91.87	65.295	34.815	76.705	136.93	124.275	215.835	46.755	119.235	86.32	66.31
31	218.1	92.2	167.96	331.42	148.295	114.12	43.355	42.575	99.82	63.5	73.445	250.425	175.055	151.125	50.825	125.845	109.77	157.005	53.79	91.685	65.3	34.805	76.74	136.785	124.19	215.685	46.77	119.105	86.39	66.305
32	218.105	92.225	168.03	331.195	148.19	114.08	43.355	42.585	99.81	63.505	73.435	250.64	175.05	151.035	50.825	125.855	109.84	157.05	53.805	91.63	65.26	34.795	76.755	136.955	124.155	215.695	46.785	119.02	86.465	66.305
33	217.93	92.23	168.025	331.115	148.155	114.07	43.335	42.615	99.82	63.445	73.445	250.61	175.045	151.08	50.775	125.82	109.695	157.055	53.775	91.615	65.3	34.775	76.77	136.9	124.03	215.605	46.81	119.085	86.535	66.61
34	217.825	92.235	167.885	330.67	147.945	114.12	43.325	42.605	99.82	63.465	73.395	250.76	175.01	150.965	50.785	125.76	109.745	157.05	53.73	91.635	65.325	34.765	76.775	136.835	124.015	215.625	46.795	119.05	86.545	66.65
35	217.81	92.18	167.855	330.305	147.87	114.085	43.325	42.595	99.815	63.49	73.395	250.92	174.975	150.965	50.765	125.67	109.78	157.05	53.71	91.555	65.315	34.745	76.765	136.85	123.875	215.47	46.765	119	86.52	66.615
36	217.735	92.205	167.935	330.16	147.815	114.2	43.345	42.615	99.84	63.365	73.415	250.75	174.88	150.98	50.755	125.715	109.7	157.03	53.74	91.595	65.29	34.745	76.79	136.85	123.91	215.505	46.765	118.965	86.55	66.615
37	217.81	92.335	168.235	330.79	147.835	114.2	43.385	42.665	99.94	63.435	73.475	251.07	174.92	151.275	50.795	125.81	109.875	157.125	53.805	91.7	65.405	34.785	76.85	137.165	124.045	215.765	46.835	119.165	86.655	66.62
