Team,Buying Power,Holding Balance,Borrowed Balance,Total Shares,Total P&L,Fees,Total Orders,Penalty,Total P&L 2
winwin,994296,0,0,21200,-5704,0,0,0,0
winwin,994296,0,0,21200,-5704,63.6,45,0,-5767.6
